일시,시간,결과,리뷰,하이라이트,TV,라디오,구장,비고
04.01(수),18:30,넥센3vs10NC,리뷰,하이라이트,KN-T,GM-R,마산,-
04.01(수),18:30,롯데2vs3LG,리뷰,하이라이트,MS-TSPO-2T,KNN-R,잠실,-
04.01(수),18:30,KIA3vs0SK,리뷰,하이라이트,SPOTV+SPO-T,,문학,-
04.01(수),18:30,삼성5vs1KT,리뷰,하이라이트,SKY-T,,수원,-
04.01(수),18:30,두산6vs3한화,리뷰,하이라이트,SS-TIB-T,TM-R,대전,-
04.02(목),18:30,넥센vsNC,,,KN-T,GM-R,마산,우천취소
04.02(목),18:30,롯데vsLG,,,MS-TSPO-2T,KNN-R,잠실,우천취소
04.02(목),18:30,KIAvsSK,,,SPOTV+SPO-T,,문학,우천취소
04.02(목),18:30,삼성vsKT,,,SKY-T,,수원,우천취소
04.02(목),18:30,두산2vs4한화,리뷰,하이라이트,SS-TIB-T,TM-R,대전,-
04.03(금),18:30,한화6vs11NC,리뷰,하이라이트,KN-T,GM-R,마산,-
04.03(금),18:30,SK3vs14넥센,리뷰,하이라이트,SKY-T,,목동,-
04.03(금),18:30,삼성7vs3LG,리뷰,하이라이트,MS-TSPO-2T,,잠실,-
04.03(금),18:30,두산0vs5롯데,리뷰,하이라이트,SS-TIB-T,KNN-R,사직,-
04.03(금),18:30,KIA5vs0KT,리뷰,하이라이트,SPOTV+SPO-T,,수원,-
04.04(토),17:00,한화vsNC,,,KN-T,GM-R,마산,우천취소
04.04(토),17:00,SK10vs4넥센,리뷰,하이라이트,SKY-T,,목동,-
04.04(토),17:00,삼성2vs3LG,리뷰,하이라이트,MS-TSPO-2T,,잠실,-
04.04(토),17:00,두산vs롯데,,,SS-TIB-T,KNN-R,사직,우천취소
04.04(토),17:00,KIA10vs2KT,리뷰,하이라이트,SPOTV+SPO-T,,수원,-
04.05(일),14:00,한화2vs9NC,리뷰,하이라이트,KN-T,GM-R,마산,-
04.05(일),14:00,삼성5vs6LG,리뷰,하이라이트,MS-TSPO-2T,K-2R,잠실,-
04.05(일),14:00,두산4vs16롯데,리뷰,하이라이트,SS-TIB-T,KNN-R,사직,-
04.05(일),14:00,KIA4vs1KT,리뷰,하이라이트,SPOTV+SPO-T,,수원,-
04.05(일),17:00,SK13vs7넥센,리뷰,하이라이트,SKY-T,,목동,-
04.07(화),18:30,넥센17vs4두산,리뷰,하이라이트,SPOTV+SPO-T,,잠실,-
04.07(화),18:30,KT2vs3SK,리뷰,하이라이트,SKY-T,,문학,-
04.07(화),18:30,롯데1vs3삼성,리뷰,하이라이트,KN-TSPO-2T,K-2RT-RKNN-RPM-R,대구,-
04.07(화),18:30,NC5vs3KIA,리뷰,하이라이트,SS-TIB-T,,광주,-
04.07(화),18:30,LG3vs4한화,리뷰,하이라이트,MS-T,TJ-RTM-RDK-R,대전,-
04.08(수),18:30,넥센4vs9두산,리뷰,하이라이트,SPOTV+SPO-T,,잠실,-
04.08(수),18:30,KT1vs2SK,리뷰,하이라이트,SKY-T,,문학,-
04.08(수),18:30,롯데2vs4삼성,리뷰,하이라이트,KN-TSPO-2T,T-RKNN-RDM-RPM-R,대구,-
04.08(수),18:30,NC13vs5KIA,리뷰,하이라이트,SS-TIB-T,,광주,-
04.08(수),18:30,LG3vs2한화,리뷰,하이라이트,MS-T,TJ-RTM-R,대전,-
04.09(목),18:30,넥센0vs1두산,리뷰,하이라이트,SPOTV+SPO-T,,잠실,-
04.09(목),18:30,KT2vs13SK,리뷰,하이라이트,SKY-T,,문학,-
04.09(목),18:30,롯데4vs5삼성,리뷰,하이라이트,KN-TSPO-2T,T-RKNN-RDM-RPM-R,대구,-
04.09(목),18:30,NC4vs2KIA,리뷰,하이라이트,SS-TIB-T,,광주,-
04.09(목),18:30,LG4vs5한화,리뷰,하이라이트,MS-T,TJ-RTM-R,대전,-
04.10(금),18:30,KT0vs6넥센,리뷰,하이라이트,SPOTV+SPO-T,,목동,-
04.10(금),18:30,SK3vs2NC,리뷰,하이라이트,SKY-T,GM-R,마산,-
04.10(금),18:30,두산2vs5LG,리뷰,하이라이트,SS-TIB-T,,잠실,-
04.10(금),18:30,한화9vs10롯데,리뷰,하이라이트,MS-T,KNN-RPM-R,사직,-
04.10(금),18:30,KIA3vs4삼성,리뷰,하이라이트,KN-TSPO-2T,KNN-RDM-RPM-R,대구,-
04.11(토),17:00,KT6vs4넥센,리뷰,하이라이트,SPOTV+SPO-T,,목동,-
04.11(토),17:00,SK2vs4NC,리뷰,하이라이트,SKY-T,GM-R,마산,-
04.11(토),17:00,두산9vs6LG,리뷰,하이라이트,SS-TIB-T,,잠실,-
04.11(토),17:00,한화4vs1롯데,리뷰,하이라이트,MS-T,KNN-RPM-R,사직,-
04.11(토),17:00,KIA2vs5삼성,리뷰,하이라이트,KN-TSPO-2T,T-R,대구,-
04.12(일),14:00,KT5vs3넥센,리뷰,하이라이트,SPOTV+SPO-T,,목동,-
04.12(일),14:00,SK11vs8NC,리뷰,하이라이트,SKY-T,GM-R,마산,-
04.12(일),14:00,두산2vs3LG,리뷰,하이라이트,SS-TIB-T,,잠실,-
04.12(일),14:00,KIA9vs7삼성,리뷰,하이라이트,KN-TSPO-2T,K-2RT-R,대구,-
04.12(일),17:00,한화3vs15롯데,리뷰,하이라이트,MS-T,KNN-RPM-R,사직,-
04.14(화),18:30,KIAvsLG,,,SKY-TSPO-2T,,잠실,우천취소
04.14(화),18:30,넥센vsSK,,,SS-TIB-T,,문학,우천취소
04.14(화),18:30,NC4vs5롯데,리뷰,하이라이트,MS-T,KNN-RPM-R,사직,-
04.14(화),18:30,두산18vs2KT,리뷰,하이라이트,SPOTV+SPO-T,,수원,-
04.14(화),18:30,삼성3vs5한화,리뷰,하이라이트,KN-T,T-RDM-RTM-RDK-R,대전,-
04.15(수),18:30,KIA9vs4LG,리뷰,하이라이트,SKY-TSPO-2T,,잠실,-
